accruedSeasons,addNames,ageSignWaiver,ageSignelFa,alert,birthCity,birthCountry,birthDate,birthStateProvince,careerTeamId,centralRegistryPosition,clubElecArb,currentTeamId,dateOfDeath,ddaId,deceased,epPlayerId,faGroupAfterSeason,firstName,firstSignedByTeamId,freeAgentGroup,fullName,group5Election,group5SeasonsEarned,group6Proration,group6SeasonsEarned,groupsEarnedThruSeason,height,hofInductionYear,homeTown,id,iihfHofInductionYear,inHockeyHof,inIihfHof,inTop100Alltime,inUsHockeyHof,isDefected,isDeleted,isJunior,isRetired,isRookie,isSuspended,lastAmateurLeagueId,lastAmateurTeamId,lastNHLTeamId,lastName,loanCapException,longTermInjury,message,middleName,nationality,nhlExperience,onRoster,platformYear,position,prName,prStat,proYearReduction,reentryWaivers,rosterSpecialCode,salaryArbitrationExp,shootsCatches,sweaterNumber,updateTimestamp,usHofInductionYear,vetCapExcptn,waiverAmount,waiverDraft,waiverStatus,weight,yearsPro
8.0,,19.0,18.0,N,Calgary,CAN,1991-11-14,AB,,L,N,1,,23975.0,False,14360.0,,Taylor,,,Taylor Hall,N,8.0,,8.0,20172018.0,73.0,,,8475791,,False,0,0,False,N,N,N,,N,N,141.0,2768.0,1,Hall,N,N,,,CAN,8.0,I,2012.0,L,Taylor Hall,7,,,,8.0,L,9.0,2017-07-01T09:00:56,,N,11250.0,E,Y,205.0,8.0
0.0,Ivan,19.0,19.0,N,Saratov,RUS,1985-03-11,,,C,N,1,,20970.0,False,11352.0,,Ivan,1.0,,Ivan Khomutov,N,4.0,,3.0,20172018.0,74.0,,,8470686,,False,0,0,False,N,N,N,,N,N,297.0,2984.0,1,Khomutov,N,N,,,RUS,2.0,N,2008.0,C,Ivan Khomutov,7,1.0,,,2.0,L,,2017-07-01T09:00:49,,N,41250.0,E,Y,198.0,4.0
5.0,Eric,22.0,22.0,N,Saskatoon,CAN,1988-04-14,SK,,D,N,1,,21991.0,False,12268.0,,Eric,,,Eric Gryba,N,8.0,,8.0,20172018.0,76.0,,,8473468,,False,0,0,False,N,N,N,,N,N,83.0,3564.0,1,Gryba,N,N,,,CAN,8.0,N,2019.0,D,Eric Gryba,7,,,,8.0,R,2.0,2017-07-01T13:50:25,,N,11250.0,E,Y,222.0,8.0
4.0,Brian,21.0,21.0,N,Waltham,USA,1988-01-04,MA,,D,N,1,,21988.0,False,9313.0,,Brian,,,Brian Strait,N,9.0,,9.0,20172018.0,73.0,,,8473565,,False,0,0,False,N,N,N,,N,N,147.0,67.0,1,Strait,N,N,,,USA,9.0,N,2018.0,D,Brian Strait,7,,,,9.0,L,,2017-08-31T11:40:44,,N,7500.0,E,Y,206.0,9.0
2.0,Eric,19.0,19.0,N,Philadelphia,USA,1989-02-10,PA,,L,N,1,,22247.0,False,12514.0,,Eric,5.0,,Eric Tangradi,N,9.0,,9.0,20172018.0,76.0,,,8474025,,False,0,0,False,N,N,N,,N,N,141.0,1860.0,1,Tangradi,N,N,,,USA,9.0,N,2019.0,L,Eric Tangradi,7,1.0,,,9.0,L,34.0,2017-08-31T11:40:44,,N,3375.0,E,Y,226.0,10.0
5.0,,22.0,22.0,N,Norrtälje,SWE,1988-01-05,,,G,N,1,,23321.0,False,4347.0,,Eddie,,,Eddie Lack,N,8.0,,8.0,20172018.0,76.0,,,8475663,,False,0,0,False,N,N,N,,N,N,315.0,3204.0,1,Lack,N,N,,,SWE,8.0,N,2019.0,G,Eddie Lack,7,,,,8.0,L,31.0,2017-07-01T09:00:56,,N,11250.0,,Y,187.0,8.0
0.0,,22.0,22.0,N,Mississauga,CAN,1991-02-07,ON,,D,N,1,,24077.0,False,31270.0,,John,,,John Ramage,N,5.0,,5.0,20172018.0,72.0,,,8475829,,False,0,0,False,N,N,N,,N,N,221.0,4748.0,1,Ramage,N,N,,,CAN,5.0,N,2019.0,D,John Ramage,7,,,,5.0,R,,2017-07-01T09:00:56,,N,26250.0,E,Y,190.0,5.0
,,,,N,Chur,CHE,1990-04-29,,,R,N,1,,24177.0,False,17695.0,,Mauro,,,Mauro Jorg,N,,,,,72.0,,,8475898,,False,0,0,False,Y,N,N,,N,N,293.0,5846.0,1,Jorg,N,N,,,CHE,,N,,R,Mauro Jorg,7,,,,,L,,2016-08-29T11:59:09,,N,0.0,E,N,192.0,
0.0,,22.0,22.0,N,Milford,USA,1993-02-20,MI,,L,N,1,,24843.0,False,45418.0,,Blake,,,Blake Pietila,N,3.0,,3.0,20172018.0,71.0,,,8476370,,False,0,0,False,N,N,N,,N,N,83.0,,1,Pietila,N,N,,,USA,3.0,N,2019.0,L,Blake Pietila,7,,,,3.0,L,56.0,2017-08-31T11:40:46,,N,56250.0,,Y,200.0,3.0
4.0,,18.0,18.0,N,Aurora,CAN,1993-03-31,ON,,D,N,1,,24726.0,False,44666.0,,Ryan,,,Ryan Murphy,N,6.0,,6.0,20172018.0,71.0,,,8476465,,False,0,0,False,N,N,N,,N,N,141.0,1874.0,1,Murphy,N,N,,,CAN,5.0,N,2019.0,D,Ryan Murphy,7,2.0,,,5.0,R,32.0,2017-08-31T11:40:46,,N,13125.0,,Y,181.0,7.0
